date,open,high,low,close,volume,symbol
2025-01-08,588.70001,590.58002,585.20001,589.48999,47304700,SPY
2025-01-10,585.88,585.95001,578.54999,580.48999,73105000,SPY
2025-01-13,575.77002,581.75,575.34998,581.39001,47910100,SPY
2025-01-14,584.35999,585.0,578.34998,582.19,48420600,SPY
2025-01-15,590.33002,593.94,589.20001,592.78003,56900200,SPY
2025-01-16,594.16998,594.34998,590.92999,591.64001,43319700,SPY
2025-01-17,596.96002,599.35999,595.60999,597.58002,58070600,SPY
2025-01-21,600.66998,603.059998,598.66998,603.049988,42532900,SPY
2025-01-22,605.91998,607.82001,605.35999,606.44,48196000,SPY
2025-01-23,605.79999,609.75,605.52002,609.75,41152100,SPY
2025-01-24,609.81,610.78003,606.79999,607.96997,34604700,SPY
2025-01-27,594.81,599.69,594.64001,599.37,70361100,SPY
2025-01-28,600.62,605.37,597.25,604.52002,44433300,SPY
2025-01-29,603.71997,604.13,599.21997,601.81,37177400,SPY
2025-01-30,603.96002,606.59998,600.71997,605.039978,39281300,SPY
2025-01-31,607.5,609.96002,601.049988,601.82001,66671500,SPY
2025-02-03,592.66998,600.28998,590.48999,597.77002,65857200,SPY
2025-02-04,597.83002,602.29999,597.28003,601.78003,33457800,SPY
2025-02-05,600.64001,604.37,598.58002,604.21997,30653100,SPY
2025-02-06,605.98999,606.45001,602.63,606.32001,35771500,SPY
2025-02-07,606.89001,608.13,600.049988,600.77002,50788500,SPY
2025-02-10,604.030029,605.5,602.73999,604.84998,26048700,SPY
2025-02-11,602.54999,605.85999,602.42999,605.31,30056700,SPY
2025-02-12,599.20001,604.54999,598.51001,603.35999,45076100,SPY
2025-02-13,604.47998,609.94,603.20001,609.72998,40921300,SPY
2025-02-14,609.94,610.98999,609.070007,609.70001,26910400,SPY
2025-02-18,610.88,611.48999,608.38,611.48999,26749000,SPY
2025-02-19,610.080017,613.22998,609.56,612.92999,31011100,SPY
2025-02-20,611.53998,611.67999,607.02002,610.38,36554000,SPY
2025-02-21,610.15997,610.29999,599.46997,599.94,76519800,SPY
2025-02-24,602.02002,603.030029,596.48999,597.21002,50737200,SPY
2025-02-25,597.15002,597.89001,589.56,594.23999,58266500,SPY
2025-02-26,595.92999,599.58002,591.85999,594.53998,43321600,SPY
2025-02-27,596.84998,598.02002,584.65002,585.049988,74196700,SPY
2025-02-28,585.56,594.71997,582.44,594.17999,88744100,SPY
2025-03-03,596.17999,597.34003,579.90002,583.77002,74249200,SPY
2025-03-04,579.71002,585.39001,572.25,576.85999,109648200,SPY
2025-03-05,576.69,584.88,573.080017,583.059998,71230500,SPY
2025-03-06,575.47998,580.16998,570.12,572.71002,80094900,SPY
2025-03-07,570.90002,577.39001,565.63,575.91998,81158800,SPY
2025-03-10,567.59003,569.53998,555.59003,560.58002,99326600,SPY
2025-03-11,559.40002,564.02002,552.02002,555.91998,88102100,SPY
2025-03-12,562.16998,563.10999,553.69,558.87,69588200,SPY
2025-03-13,558.48999,559.10999,549.67999,551.41998,74079400,SPY
2025-03-14,556.10999,563.83002,551.48999,562.81,62660300,SPY
2025-03-17,562.78998,569.71002,562.34998,567.15002,49008700,SPY
2025-03-18,564.79999,565.02002,559.059998,561.02002,66041400,SPY
2025-03-19,562.83002,570.95001,561.63,567.13,66556000,SPY
2025-03-20,563.33002,570.57001,562.59998,565.48999,62958200,SPY
2025-03-21,559.28003,564.89001,558.030029,563.97998,83763000,SPY
2025-03-24,570.79999,575.15002,570.20001,574.080017,58766800,SPY
2025-03-25,575.29999,576.40997,573.69,575.46002,38355700,SPY
2025-03-26,575.19,576.33002,567.19,568.59003,51848300,SPY
2025-03-27,567.17999,570.90002,564.94,567.080017,42164200,SPY
2025-03-28,565.53003,566.27002,555.070007,555.65997,71662700,SPY
2025-03-31,549.83002,560.71002,546.87,559.39001,95328200,SPY
2025-04-01,557.45001,562.94,553.67999,560.96997,54609600,SPY
2025-04-02,555.049988,567.41998,554.81,564.52002,76014500,SPY
2025-04-03,545.10999,547.96997,536.70001,536.70001,125986000,SPY
2025-04-04,523.66998,525.87,505.059998,505.28,217965100,SPY
2025-04-07,489.19,523.16998,481.79999,504.38,256611400,SPY
2025-04-08,521.85999,524.97998,489.16,496.48001,165816600,SPY
2025-04-09,493.44,548.62,493.049988,548.62,241867300,SPY
2025-04-10,532.16998,533.5,509.32001,524.58002,162331200,SPY
2025-04-11,523.01001,536.42999,520.070007,533.94,97866300,SPY
2025-04-14,544.049988,544.28003,533.85999,539.12,68034000,SPY
2025-04-15,539.66998,543.22998,536.81,537.60999,56892900,SPY
2025-04-16,531.67999,537.89001,520.28998,525.65997,83484800,SPY
2025-04-17,527.64001,531.16998,523.90997,526.40997,79741000,SPY
2025-04-21,521.15997,521.70001,508.45999,513.88,69368100,SPY
2025-04-22,520.14001,529.29999,519.19,527.25,75948100,SPY
2025-04-23,540.42999,545.42999,533.88,535.41998,90590700,SPY
2025-04-24,536.71997,547.42999,535.45001,546.69,64150400,SPY
2025-04-25,546.65002,551.049988,543.69,550.64001,61119600,SPY
2025-04-28,551.39001,553.54999,545.02002,550.84998,47613800,SPY
2025-04-29,548.90997,555.45001,548.54999,554.32001,47775100,SPY
2025-04-30,547.57001,556.52002,541.52002,554.53998,93101500,SPY
2025-05-01,560.37,564.070007,557.85999,558.46997,63186100,SPY
2025-05-02,564.72998,568.38,562.38,566.76001,60717300,SPY
2025-05-05,562.57001,566.65002,561.70001,563.51001,38659200,SPY
2025-05-06,557.92999,563.34998,556.96002,558.79999,48264700,SPY
2025-05-07,560.15002,563.82001,556.039978,561.15002,55588000,SPY
2025-05-08,565.23999,570.31,561.70001,565.059998,65130800,SPY
2025-05-09,566.47998,567.5,562.76001,564.34003,37603400,SPY
2025-05-12,581.46997,583.0,577.039978,582.98999,78993600,SPY
2025-05-13,583.40997,589.080017,582.84003,586.84003,67947200,SPY
2025-05-14,587.81,588.97998,585.53998,587.59003,66283500,SPY
2025-05-15,585.56,590.96997,585.099976,590.46002,71268100,SPY
2025-05-16,591.25,594.5,589.28003,594.20001,76052100,SPY
2025-05-19,588.099976,595.53998,588.099976,594.84998,68168500,SPY
2025-05-20,593.090027,594.049988,589.59998,592.84998,60614500,SPY
2025-05-21,588.44,592.58002,581.82001,582.85999,95197700,SPY
2025-05-22,582.65997,586.62,581.40997,583.090027,70860400,SPY
2025-05-23,575.97998,581.81,575.59998,579.10999,76029000,SPY
2025-05-27,586.070007,591.31,578.42999,591.15002,72588500,SPY
2025-05-28,591.56,592.77002,586.98999,587.72998,68445500,SPY
2025-05-29,593.059998,593.20001,586.070007,590.049988,69973300,SPY
2025-05-30,588.92999,591.13,583.23999,589.39001,90601200,SPY
2025-06-02,587.76001,592.78998,585.059998,592.71002,61630500,SPY
2025-06-03,592.34003,597.080017,591.84998,596.090027,63606200,SPY
2025-06-04,596.96002,597.95001,595.48999,595.92999,57314200,SPY
2025-06-05,597.63,599.0,591.049988,593.049988,92278700,SPY
2025-06-06,598.65997,600.83002,596.85999,599.14001,66588700,SPY
2025-06-09,599.71997,601.25,598.48999,599.67999,53016400,SPY
2025-06-10,600.21997,603.46997,599.090027,603.080017,66247000,SPY
2025-06-11,604.19,605.059998,599.27002,601.35999,73658200,SPY
2025-06-12,600.01001,603.75,599.52002,603.75,64129000,SPY
2025-06-13,598.5,601.84998,595.47998,597.0,89506000,SPY
2025-06-16,600.40002,604.45001,600.21997,602.67999,79984100,SPY
2025-06-17,600.21002,601.75,596.76001,597.53003,82209400,SPY
2025-06-18,598.44,601.21997,596.46997,597.44,76605000,SPY
2025-06-20,598.38,599.46002,592.85999,594.28003,94051400,SPY
2025-06-23,595.039978,600.53998,591.89001,600.15002,87426000,SPY
2025-06-24,604.33002,607.84998,603.40997,606.78003,67735300,SPY
2025-06-25,607.90997,608.60999,605.53998,607.12,62114800,SPY
2025-06-26,608.98999,612.31,608.37,611.87,78548400,SPY
2025-06-27,612.88,616.39001,610.83002,614.90997,86258400,SPY
2025-06-30,617.38,619.21997,615.039978,617.84998,92502500,SPY
2025-07-01,616.35999,618.83002,615.52002,617.65002,70030100,SPY
2025-07-02,617.23999,620.48999,616.60999,620.45001,66510400,SPY
2025-07-03,622.45001,626.28003,622.42999,625.34003,51065800,SPY
2025-07-07,623.35999,624.030029,617.87,620.67999,74814500,SPY
2025-07-08,621.34998,622.10999,619.52002,620.34003,59024600,SPY
2025-07-09,622.77002,624.71997,620.90997,624.059998,66113300,SPY
2025-07-10,624.20001,626.87,623.01001,625.82001,57529000,SPY
2025-07-11,622.73999,624.85999,621.53003,623.62,63670200,SPY
2025-07-14,623.15997,625.15997,621.79999,624.81,51898500,SPY
2025-07-15,627.52002,627.85999,622.059998,622.14001,74317300,SPY
2025-07-16,623.73999,624.72998,618.049988,624.21997,88987500,SPY
2025-07-17,624.40002,628.40002,624.17999,628.039978,68885700,SPY
2025-07-18,629.29999,629.46997,626.46002,627.58002,65621600,SPY
2025-07-21,628.77002,631.53998,628.34003,628.77002,63375000,SPY
2025-07-22,629.099976,629.72998,626.19,628.85999,60046300,SPY
2025-07-23,631.54999,634.21002,629.72998,634.21002,70511000,SPY
2025-07-24,634.59998,636.15002,633.98999,634.41998,71307100,SPY
2025-07-25,635.090027,637.58002,634.84003,637.099976,56865400,SPY
2025-07-28,637.47998,638.039978,635.53998,636.94,54917100,SPY
2025-07-29,638.34998,638.66998,634.34003,635.26001,60556300,SPY
2025-07-30,635.91998,637.67999,631.53998,634.46002,80418900,SPY
2025-07-31,639.46002,639.84998,630.77002,632.080017,103385200,SPY
2025-08-01,626.29999,626.34003,619.28998,621.71997,140103600,SPY
2025-08-04,625.66998,631.21997,625.58002,631.16998,73218000,SPY
2025-08-05,631.78998,632.60999,627.039978,627.96997,68051400,SPY
2025-08-06,629.049988,633.44,628.13,632.78003,64357500,SPY
2025-08-07,636.23999,636.97998,629.10999,632.25,74205800,SPY
2025-08-08,634.059998,637.65002,633.73999,637.17999,64051600,SPY
2025-08-11,637.46002,638.95001,634.65997,635.91998,58742300,SPY
2025-08-12,638.28998,642.84998,636.78998,642.69,64730800,SPY
2025-08-13,644.90997,646.19,642.67999,644.89001,60092800,SPY
2025-08-14,642.78998,645.62,642.34003,644.95001,59327500,SPY
2025-08-15,645.98999,646.090027,642.52002,643.44,68592500,SPY
2025-08-18,642.85999,644.0,642.17999,643.29999,43804900,SPY
2025-08-19,643.12,644.10999,638.47998,639.81,69750700,SPY
2025-08-20,639.40002,639.65997,632.95001,638.10999,88890300,SPY
2025-08-21,636.28003,637.96997,633.81,635.54999,54805800,SPY
2025-08-22,637.76001,646.5,637.25,645.31,84083200,SPY
2025-08-25,644.039978,645.28998,642.34998,642.46997,51274300,SPY
2025-08-26,642.20001,645.51001,641.57001,645.15997,51581600,SPY
2025-08-27,644.57001,647.37,644.41998,646.63,48341100,SPY
2025-08-28,647.23999,649.47998,645.34003,648.91998,61519500,SPY
2025-08-29,647.46997,647.84003,643.14001,645.049988,74522200,SPY
2025-09-02,637.5,640.48999,634.91998,640.27002,81983500,SPY
2025-09-03,642.66998,644.21002,640.46002,643.73999,70820900,SPY
2025-09-04,644.41998,649.15002,643.51001,649.12,65219200,SPY
2025-09-05,651.47998,652.21002,643.33002,647.23999,85178900,SPY
2025-09-08,648.62,649.84003,647.22998,648.83002,63133100,SPY
2025-09-09,648.96997,650.85999,647.21997,650.33002,66133900,SPY
2025-09-10,653.62,654.54999,650.63,652.21002,78034500,SPY
